gesetzKuerzel;gesetzName;paragraf;absatz;titel;inhalt;mangelVorgefunden;rechtsgrundlage;handlungsaufforderung
ArbSchG;Arbeitsschutzgesetz;§ 3;2;Grundpflichten des Arbeitgebers;(2) Zur Planung und Durchführung der Maßnahmen nach Absatz 1 hat der Arbeitgeber unter Berücksichtigung der Art der Tätigkeiten und der Zahl der Beschäftigten 1. für eine geeignete Organisation zu sorgen und die erforderlichen Mittel bereitzustellen sowie 2. Vorkehrungen zu treffen, daß die Maßnahmen erforderlichenfalls bei allen Tätigkeiten und eingebunden in die betrieblichen Führungsstrukturen beachtet werden und die Beschäftigten ihren Mitwirkungspflichten nachkommen können.;;;
ArbSchG;Arbeitsschutzgesetz;§ 3;3;Grundpflichten des Arbeitgebers;(3) Kosten für Maßnahmen nach diesem Gesetz darf der Arbeitgeber nicht den Beschäftigten auferlegen.;Zum Zeitpunkt der Besichtigung wurde festgestellt, dass Kosten für Arbeitsschutzmaßnahmen den Beschäftigten auferlegt wurden.;Gemäß § 3 Abs. 3 Arbeitsschutzgesetz (ArbSchG) darf der Arbeitgeber Kosten für Maßnahmen nach diesem Gesetz nicht den Beschäftigten auferlegen.;Ich bitte Sie sicherzustellen, dass sämtliche Kosten für Maßnahmen des Arbeitsschutzes ausschließlich vom Arbeitgeber getragen werden und den Beschäftigten keinerlei Kosten auferlegt werden.
ArbSchG;Arbeitsschutzgesetz;§ 4;;Allgemeine Grundsätze;"Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 1. Die Arbeit ist so zu gestalten, daß eine Gefährdung für das Leben sowie die physische und die psychische Gesundheit möglichst vermieden und die verbleibende Gefährdung möglichst gering gehalten wird; 2. Gefahren sind an ihrer Quelle zu bekämpfen; 3. bei den Maßnahmen sind der Stand von Technik, Arbeitsmedizin und Hygiene sowie sonstige gesicherte arbeitswissenschaftliche Erkenntnisse zu berücksichtigen; 4. Maßnahmen sind mit dem Ziel zu planen, Technik, Arbeitsorganisation, sonstige Arbeitsbedingungen, soziale Beziehungen und Einfluß der Umwelt auf den Arbeitsplatz sachgerecht zu verknüpfen; 5. individuelle Schutzmaßnahmen sind nachrangig zu anderen Maßnahmen; 6. spezielle Gefahren für besonders schutzbedürftige Beschäftigtengruppen sind zu berücksichtigen; 7. den Beschäftigten sind geeignete Anweisungen zu erteilen; 8. mittelbar oder unmittelbar geschlechtsspezifisch wirkende Regelungen sind nur zulässig, wenn dies aus biologischen Gründen zwingend geboten ist.";Zum Zeitpunkt der Besichtigung konnte nicht nachgewiesen werden, dass den Beschäftigten geeignete Anweisungen zu den festgelegten Arbeitsschutzmaßnahmen erteilt wurden.;Gemäß § 4 Nr. 7 Arbeitsschutzgesetz (ArbSchG) hat der Arbeitgeber bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: den Beschäftigten sind geeignete Anweisungen zu erteilen.;Bitte erteilen Sie Ihren Beschäftigten geeignete und verständliche Anweisungen zu den jeweiligen Arbeitsschutzmaßnahmen.
ArbSchG;Arbeitsschutzgesetz;§ 5;1;Beurteilung der Arbeitsbedingungen;(1) Der Arbeitgeber hat durch eine Beurteilung der für die Beschäftigten mit ihrer Arbeit verbundenen Gefährdung zu ermitteln, welche Maßnahmen des Arbeitsschutzes erforderlich sind.;Zum Zeitpunkt der Besichtigung konnte von Ihnen keine Gefährdungsbeurteilungen vorgelegt werden. ;Laut § 5 Arbeitsschutzgesetzes (ArbSchG) hat der Arbeitgeber durch eine Beurteilung die für die Beschäftigten mit ihrer Arbeit verbundenen Gefährdungen zu ermitteln, bei Erfordernis notwendige Maßnahmen gegen diese Gefährdungen zu treffen und die Wirksamkeit dieser Maßnahmen fortlaufend zu prüfen. ;Bitte überarbeiten Sie eigenverantwortlich Ihre Gefährdungsbeurteilungen, dokumentieren Sie zukünftig die umgesetzten Maßnahmen und führen Sie Wirksamkeitskontrollen durch. 
ArbSchG;Arbeitsschutzgesetz;§ 5;2;Beurteilung der Arbeitsbedingungen;(2) Der Arbeitgeber hat die Beurteilung je nach Art der Tätigkeiten vorzunehmen. Bei gleichartigen Arbeitsbedingungen ist die Beurteilung eines Arbeitsplatzes oder einer Tätigkeit ausreichend.;;;
ArbSchG;Arbeitsschutzgesetz;§ 5;3;Beurteilung der Arbeitsbedingungen;(3) Eine Gefährdung kann sich insbesondere ergeben durch 1. die Gestaltung und die Einrichtung der Arbeitsstätte und des Arbeitsplatzes, 2. physikalische, chemische und biologische Einwirkungen, 3. die Gestaltung, die Auswahl und den Einsatz von Arbeitsmitteln, insbesondere von Arbeitsstoffen, Maschinen, Geräten und Anlagen sowie den Umgang damit, 4. die Gestaltung von Arbeits- und Fertigungsverfahren, Arbeitsabläufen und Arbeitszeit und deren Zusammenwirken, 5. unzureichende Qualifikation und Unterweisung der Beschäftigten, 6. psychische Belastungen bei der Arbeit.;Zum Zeitpunkt der Besichtigung wurde festgestellt, dass bei der Durchführung der Gefährdungsbeurteilung relevante Gefährdungsfaktoren nicht oder nicht vollständig ermittelt und berücksichtigt wurden.;Gemäß § 5 Abs. 3 Arbeitsschutzgesetz (ArbSchG) kann sich eine Gefährdung insbesondere ergeben durch 1. die Gestaltung und die Einrichtung der Arbeitsstätte und des Arbeitsplatzes, 2. physikalische, chemische und biologische Einwirkungen, 3. die Gestaltung, die Auswahl und den Einsatz von Arbeitsmitteln, insbesondere von Arbeitsstoffen, Maschinen, Geräten und Anlagen sowie den Umgang damit, 4. die Gestaltung von Arbeits- und Fertigungsverfahren, Arbeitsabläufen und Arbeitszeit und deren Zusammenwirken, 5. unzureichende Qualifikation und Unterweisung der Beschäftigten, 6. psychische Belastungen bei der Arbeit.;Ich bitte Sie sicherzustellen, dass die Gefährdungsbeurteilung vervollständigt wird und sämtliche gesetzlich genannten Gefährdungsfaktoren, einschließlich spezifischer Einwirkungen, Arbeitsabläufe, Qualifikationen und psychischer Belastungen, umfassend ermittelt und berücksichtigt werden.
ArbSchG;Arbeitsschutzgesetz;§ 6;1;Dokumentation;(1) Der Arbeitgeber muß über die je nach Art der Tätigkeiten und der Zahl der Beschäftigten erforderlichen Unterlagen verfügen, aus denen das Ergebnis der Gefährdungsbeurteilung, die von ihm festgelegten Maßnahmen des Arbeitsschutzes und das Ergebnis ihrer Überprüfung ersichtlich sind. Bei gleichartiger Gefährdungssituation ist es ausreichend, wenn die Unterlagen zusammengefaßte Angaben enthalten.;Zum Zeitpunkt der Besichtigung wurde festgestellt, dass keine oder unvollständige Unterlagen zur Gefährdungsbeurteilung vorlagen, aus denen das Ergebnis der Gefährdungsbeurteilung, die festgelegten Arbeitsschutzmaßnahmen oder das Ergebnis ihrer Überprüfung ersichtlich sind.;Gemäß § 6 Abs. 1 Arbeitsschutzgesetz (ArbSchG) muss der Arbeitgeber über die je nach Art der Tätigkeiten und der Zahl der Beschäftigten erforderlichen Unterlagen verfügen, aus denen das Ergebnis der Gefährdungsbeurteilung, die von ihm festgelegten Maßnahmen des Arbeitsschutzes und das Ergebnis ihrer Überprüfung ersichtlich sind. Bei gleichartiger Gefährdungssituation ist es ausreichend, wenn die Unterlagen zusammengefaßte Angaben enthalten.;Ich bitte Sie sicherzustellen, dass die erforderlichen Unterlagen zur Gefährdungsbeurteilung inklusive der festgelegten Arbeitsschutzmaßnahmen und der Ergebnisse ihrer Überprüfung vollständig erstellt und vorgehalten werden.
ArbSchG;Arbeitsschutzgesetz;§ 6;2;Dokumentation;(2) Unfälle in seinem Betrieb, bei denen ein Beschäftigter getötet oder so verletzt wird, daß er stirbt oder für mehr als drei Tage völlig oder teilweise arbeits- oder dienstunfähig wird, hat der Arbeitgeber zu erfassen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 7;;Übertragung von Aufgaben;Bei der Übertragung von Aufgaben auf Beschäftigte hat der Arbeitgeber je nach Art der Tätigkeiten zu berücksichtigen, ob die Beschäftigten befähigt sind, die für die Sicherheit und den Gesundheitsschutz bei der Aufgabenerfüllung zu beachtenden Bestimmungen und Maßnahmen einzuhalten.;;;
ArbSchG;Arbeitsschutzgesetz;§ 8;1;Zusammenarbeit mehrerer Arbeitgeber;(1) Werden Beschäftigte mehrerer Arbeitgeber an einem Arbeitsplatz tätig, sind die Arbeitgeber verpflichtet, bei der Durchführung der Sicherheits- und Gesundheitsschutzbestimmungen zusammenzuarbeiten. Soweit dies für die Sicherheit und den Gesundheitsschutz der Beschäftigten bei der Arbeit erforderlich ist, haben die Arbeitgeber je nach Art der Tätigkeiten insbesondere sich gegenseitig und ihre Beschäftigten über die mit den Arbeiten verbundenen Gefahren für Sicherheit und Gesundheit der Beschäftigten zu unterrichten und Maßnahmen zur Verhütung dieser Gefahren abzustimmen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 8;2;Zusammenarbeit mehrerer Arbeitgeber;(2) Der Arbeitgeber muß sich je nach Art der Tätigkeit vergewissern, daß die Beschäftigten anderer Arbeitgeber, die in seinem Betrieb tätig werden, hinsichtlich der Gefahren für ihre Sicherheit und Gesundheit während ihrer Tätigkeit in seinem Betrieb angemessene Anweisungen erhalten haben.;Zum Zeitpunkt der Besichtigung konnte nicht nachgewiesen werden, dass Sie sich beim Einsatz von Fremdfirmen in Ihrem Betrieb vergewissern, dass deren Beschäftigte angemessene Sicherheitsanweisungen erhalten haben.;Gemäß § 8 Abs. 2 Arbeitsschutzgesetz (ArbSchG) muss sich der Arbeitgeber je nach Art der Tätigkeit vergewissern, dass die Beschäftigten anderer Arbeitgeber, die in seinem Betrieb tätig werden, hinsichtlich der Gefahren für ihre Sicherheit und Gesundheit während ihrer Tätigkeit in seinem Betrieb angemessene Anweisungen erhalten haben.;Bitte stellen Sie sicher und dokumentieren Sie, dass Beschäftigte von Fremdfirmen angemessene Sicherheitsanweisungen für die Tätigkeiten in Ihrem Betrieb erhalten.
ArbSchG;Arbeitsschutzgesetz;§ 9;1;Besondere Gefahren;(1) Der Arbeitgeber hat Maßnahmen zu treffen, damit nur Beschäftigte Zugang zu besonders gefährlichen Arbeitsbereichen haben, die zuvor geeignete Anweisungen erhalten haben.;;;
ArbSchG;Arbeitsschutzgesetz;§ 9;2;Besondere Gefahren;"(2) Der Arbeitgeber hat Vorkehrungen zu treffen, daß alle Beschäftigten, die einer unmittelbaren erheblichen Gefahr ausgesetzt sind oder sein können, möglichst frühzeitig über diese Gefahr und die getroffenen oder zu treffenden Schutzmaßnahmen unterrichtet sind. Bei unmittelbarer erheblicher Gefahr für die eigene Sicherheit oder die Sicherheit anderer Personen müssen die Beschäftigten die geeigneten Maßnahmen zur Gefahrenabwehr und Schadensbegrenzung selbst treffen können, wenn der zuständige Vorgesetzte nicht erreichbar ist; dabei sind die Kenntnisse der Beschäftigten und die vorhandenen technischen Mittel zu berücksichtigen. Den Beschäftigten dürfen aus ihrem Handeln keine Nachteile entstehen, es sei denn, sie haben vorsätzlich oder grob fahrlässig ungeeignete Maßnahmen getroffen.";;;
ArbSchG;Arbeitsschutzgesetz;§ 9;3;Besondere Gefahren;(3) Der Arbeitgeber hat Maßnahmen zu treffen, die es den Beschäftigten bei unmittelbarer erheblicher Gefahr ermöglichen, sich durch sofortiges Verlassen der Arbeitsplätze in Sicherheit zu bringen. Den Beschäftigten dürfen hierdurch keine Nachteile entstehen. Hält die unmittelbare erhebliche Gefahr an, darf der Arbeitgeber die Beschäftigten nur in besonders begründeten Ausnahmefällen auffordern, ihre Tätigkeit wieder aufzunehmen. Gesetzliche Pflichten der Beschäftigten zur Abwehr von Gefahren für die öffentliche Sicherheit sowie die §§ 7 und 11 des Soldatengesetzes bleiben unberührt.;;;
ArbSchG;Arbeitsschutzgesetz;§ 10;1;Erste Hilfe und sonstige Notfallmaßnahmen;(1) Der Arbeitgeber hat entsprechend der Art der Arbeitsstätte und der Tätigkeiten sowie der Zahl der Beschäftigten die Maßnahmen zu treffen, die zur Ersten Hilfe, Brandbekämpfung und Evakuierung der Beschäftigten erforderlich sind. Dabei hat er der Anwesenheit anderer Personen Rechnung zu tragen. Er hat auch dafür zu sorgen, daß im Notfall die erforderlichen Verbindungen zu außerbetrieblichen Stellen, insbesondere in den Bereichen der Ersten Hilfe, der medizinischen Notversorgung, der Bergung und der Brandbekämpfung eingerichtet sind.;Sie konnten zum Zeitpunkt der Besichtigung keine gültigen Nachweise über durchgeführte Ersthelfer Schulungen vorweisen. ;Nach § 10 Arbeitsschutzgesetz (ArbSchG) hat der Arbeitgeber entsprechend der Art der Arbeitsstätte und der Tätigkeit sowie der Zahl der Beschäftigten Maßnahmen zu treffen, die zur Ersten Hilfe, Brandbekämpfung und Evakuierung der Beschäftigten erforderlich sind. Nach der DGUV Vorschrift 1 sind 10 % aller gewerblichen Mitarbeiter als Ersthelfer zu schulen. ;Bitte wählen Sie Mitarbeiter in Ihrem Unternehmen in dem Umfang aus, dass Sie mindestens die erforderliche Anzahl an Ersthelfern erreichen und ermöglichen Sie ihnen die Teilnahme an der Ersten-Hilfe-Schulung.
ArbSchG;Arbeitsschutzgesetz;§ 10;2;Erste Hilfe und sonstige Notfallmaßnahmen;(2) Der Arbeitgeber hat diejenigen Beschäftigten zu benennen, die Aufgaben der Ersten Hilfe, Brandbekämpfung und Evakuierung der Beschäftigten übernehmen. Anzahl, Ausbildung und Ausrüstung der nach Satz 1 benannten Beschäftigten müssen in einem angemessenen Verhältnis zur Zahl der Beschäftigten und zu den bestehenden besonderen Gefahren stehen. Vor der Benennung hat der Arbeitgeber den Betriebs- oder Personalrat zu hören. Weitergehende Beteiligungsrechte bleiben unberührt. Der Arbeitgeber kann die in Satz 1 genannten Aufgaben auch selbst wahrnehmen, wenn er über die nach Satz 2 erforderliche Ausbildung und Ausrüstung verfügt.;Sie geben an, dass Sie aktuell über keinen Brandschutz- und Evakuierungshelfer im Haus verfügen. ;Nach § 10 Arbeitsschutzgesetz (ArbSchG) hat der Arbeitgeber entsprechend der Art der Arbeitsstätte und der Tätigkeit sowie der Zahl der Beschäftigten Maßnahmen zu treffen, die zur Ersten Hilfe, Brandbekämpfung und Evakuierung der Beschäftigten erforderlich sind. Nach der Arbeitsstättenrichtlinie ASR A2.2 sind 5 % aller gewerblichen Mitarbeiter als Brandschutz- und Evakuierungshelfer zu schulen. ;Bitte wählen Sie Mitarbeiter in Ihrem Unternehmen in dem Umfang aus, dass Sie mindestens die erforderliche Anzahl an Brandschutz- und Evakuierungshelfern erreichen und ermöglichen Sie ihnen die Teilnahme an der erforderlichen Schulung. 
ArbSchG;Arbeitsschutzgesetz;§ 11;;Arbeitsmedizinische Vorsorge;Der Arbeitgeber hat den Beschäftigten auf ihren Wunsch unbeschadet der Pflichten aus anderen Rechtsvorschriften zu ermöglichen, sich je nach den Gefahren für ihre Sicherheit und Gesundheit bei der Arbeit regelmäßig arbeitsmedizinisch untersuchen zu lassen, es sei denn, auf Grund der Beurteilung der Arbeitsbedingungen und der getroffenen Schutzmaßnahmen ist nicht mit einem Gesundheitsschaden zu rechnen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 12;1;Unterweisung;(1) Der Arbeitgeber hat die Beschäftigten über Sicherheit und Gesundheitsschutz bei der Arbeit während ihrer Arbeitszeit ausreichend und angemessen zu unterweisen. Die Unterweisung umfaßt Anweisungen und Erläuterungen, die eigens auf den Arbeitsplatz oder den Aufgabenbereich der Beschäftigten ausgerichtet sind. Die Unterweisung muß bei der Einstellung, bei Veränderungen im Aufgabenbereich, der Einführung neuer Arbeitsmittel oder einer neuen Technologie vor Aufnahme der Tätigkeit der Beschäftigten erfolgen. Die Unterweisung muß an die Gefährdungsentwicklung angepaßt sein und erforderlichenfalls regelmäßig wiederholt werden.;Zum Zeitpunkt der Besichtigung wurde festgestellt, dass Beschäftigte nicht oder nicht ausreichend über Sicherheit und Gesundheitsschutz an ihrem Arbeitsplatz unterwiesen wurden, wobei insbesondere erforderliche Unterweisungen bei Einstellung, Aufgabenänderungen, sowie an die Gefährdungsentwicklung angepasste Wiederholungen fehlten.;Gemäß § 12 Abs. 1 Arbeitsschutzgesetz (ArbSchG) hat der Arbeitgeber die Beschäftigten über Sicherheit und Gesundheitsschutz bei der Arbeit während ihrer Arbeitszeit ausreichend und angemessen zu unterweisen. Die Unterweisung umfaßt Anweisungen und Erläuterungen, die eigens auf den Arbeitsplatz oder den Aufgabenbereich der Beschäftigten ausgerichtet sind. Die Unterweisung muß bei der Einstellung, bei Veränderungen im Aufgabenbereich, der Einführung neuer Arbeitsmittel oder einer neuen Technologie vor Aufnahme der Tätigkeit der Beschäftigten erfolgen. Die Unterweisung muß an die Gefährdungsentwicklung angepaßt sein und erforderlichenfalls regelmäßig wiederholt werden.;Ich bitte Sie sicherzustellen, dass Beschäftigte während ihrer Arbeitszeit arbeitsplatzbezogen über Sicherheit und Gesundheitsschutz unterwiesen werden und die Unterweisungen zu den gesetzlich vorgeschriebenen Anlässen (Einstellung, Aufgabenänderung, neue Arbeitsmittel/Technologien) sowie erforderlichenfalls regelmäßig erfolgen.
ArbSchG;Arbeitsschutzgesetz;§ 12;2;Unterweisung;(2) Bei einer Arbeitnehmerüberlassung trifft die Pflicht zur Unterweisung nach Absatz 1 den Entleiher. Er hat die Unterweisung unter Berücksichtigung der Qualifikation und der Erfahrung der Personen, die ihm zur Arbeitsleistung überlassen werden, vorzunehmen. Die sonstigen Arbeitsschutzpflichten des Verleihers bleiben unberührt.;Zum Zeitpunkt der Besichtigung wurde festgestellt, dass bei eingesetzten Leiharbeitnehmern die erforderliche Unterweisung durch den Entleiher unterblieben oder nicht unter Berücksichtigung von deren Qualifikation und Erfahrung durchgeführt worden ist.;Gemäß § 12 Abs. 2 Arbeitsschutzgesetz (ArbSchG) trifft bei einer Arbeitnehmerüberlassung die Pflicht zur Unterweisung nach Absatz 1 den Entleiher. Er hat die Unterweisung unter Berücksichtigung der Qualifikation und der Erfahrung der Personen, die ihm zur Arbeitsleistung überlassen werden, vorzunehmen. Die sonstigen Arbeitsschutzpflichten des Verleihers bleiben unberührt.;Ich bitte Sie sicherzustellen, dass überlassene Arbeitnehmer vor Aufnahme der Tätigkeit durch den Entleiher unter Berücksichtigung ihrer individuellen Qualifikation und Erfahrung ordnungsgemäß unterwiesen werden.
ArbSchG;Arbeitsschutzgesetz;§ 13;1;Verantwortliche Personen;(1) Verantwortlich für die Erfüllung der sich aus diesem Abschnitt ergebenden Pflichten sind neben dem Arbeitgeber 1. sein gesetzlicher Vertreter, 2. das vertretungsberechtigte Organ einer juristischen Person, 3. der vertretungsberechtigte Gesellschafter einer Personenhandelsgesellschaft, 4. Personen, die mit der Leitung eines Unternehmens oder eines Betriebes beauftragt sind, im Rahmen der ihnen übertragenen Aufgaben und Befugnisse, 5. sonstige nach Absatz 2 oder nach einer auf Grund dieses Gesetzes erlassenen Rechtsverordnung oder nach einer Unfallverhütungsvorschrift verpflichtete Personen im Rahmen ihrer Aufgaben und Befugnisse.;;;
ArbSchG;Arbeitsschutzgesetz;§ 13;2;Verantwortliche Personen;(2) Der Arbeitgeber kann zuverlässige und fachkundige Personen schriftlich damit beauftragen, ihm obliegende Aufgaben nach diesem Gesetz in eigener Verantwortung wahrzunehmen.;Zum Zeitpunkt der Besichtigung konnte für die Personen, die in Ihrem Betrieb mit Aufgaben des Arbeitsschutzes betraut wurden, keine formelle, schriftliche Pflichtenübertragung vorgelegt werden.;Gemäß § 13 Abs. 2 Arbeitsschutzgesetz (ArbSchG) kann der Arbeitgeber zuverlässige und fachkundige Personen schriftlich damit beauftragen, ihm obliegende Aufgaben nach diesem Gesetz in eigener Verantwortung wahrzunehmen.;Bitte beauftragen Sie die entsprechenden fachkundigen Personen formell und schriftlich mit der Wahrnehmung der delegierten Arbeitsschutzaufgaben.
ArbSchG;Arbeitsschutzgesetz;§ 14;1;Unterrichtung und Anhörung der Beschäftigten des öffentlichen Dienstes;(1) Die Beschäftigten des öffentlichen Dienstes sind vor Beginn der Beschäftigung und bei Veränderungen in ihren Arbeitsbereichen über Gefahren für Sicherheit und Gesundheit, denen sie bei der Arbeit ausgesetzt sein können, sowie über die Maßnahmen und Einrichtungen zur Verhütung dieser Gefahren und die nach § 10 Abs. 2 getroffenen Maßnahmen zu unterrichten.;;;
ArbSchG;Arbeitsschutzgesetz;§ 14;2;Unterrichtung und Anhörung der Beschäftigten des öffentlichen Dienstes;(2) Soweit in Betrieben des öffentlichen Dienstes keine Vertretung der Beschäftigten besteht, hat der Arbeitgeber die Beschäftigten zu allen Maßnahmen zu hören, die Auswirkungen auf Sicherheit und Gesundheit der Beschäftigten haben können.;;;
ArbSchG;Arbeitsschutzgesetz;§ 15;1;Pflichten der Beschäftigten;(1) Die Beschäftigten sind verpflichtet, nach ihren Möglichkeiten sowie gemäß der Unterweisung und Weisung des Arbeitgebers für ihre Sicherheit und Gesundheit bei der Arbeit Sorge zu tragen. Entsprechend Satz 1 haben die Beschäftigten auch für die Sicherheit und Gesundheit der Personen zu sorgen, die von ihren Handlungen oder Unterlassungen bei der Arbeit betroffen sind.;;;
ArbSchG;Arbeitsschutzgesetz;§ 15;2;Pflichten der Beschäftigten;(2) Im Rahmen des Absatzes 1 haben die Beschäftigten insbesondere Maschinen, Geräte, Werkzeuge, Arbeitsstoffe, Transportmittel und sonstige Arbeitsmittel sowie Schutzvorrichtungen und die ihnen zur Verfügung gestellte persönliche Schutzausrüstung bestimmungsgemäß zu verwenden.;;;
ArbSchG;Arbeitsschutzgesetz;§ 16;1;Besondere Unterstützungspflichten;(1) Die Beschäftigten haben dem Arbeitgeber oder dem zuständigen Vorgesetzten jede von ihnen festgestellte unmittelbare erhebliche Gefahr für die Sicherheit und Gesundheit sowie jeden an den Schutzsystemen festgestellten Defekt unverzüglich zu melden.;;;
ArbSchG;Arbeitsschutzgesetz;§ 16;2;Besondere Unterstützungspflichten;(2) Die Beschäftigten haben gemeinsam mit dem Betriebsarzt und der Fachkraft für Arbeitssicherheit den Arbeitgeber darin zu unterstützen, die Sicherheit und den Gesundheitsschutz der Beschäftigten bei der Arbeit zu gewährleisten und seine Pflichten entsprechend den behördlichen Auflagen zu erfüllen. Unbeschadet ihrer Pflicht nach Absatz 1 sollen die Beschäftigten von ihnen festgestellte Gefahren für Sicherheit und Gesundheit und Mängel an den Schutzsystemen auch der Fachkraft für Arbeitssicherheit, dem Betriebsarzt oder dem Sicherheitsbeauftragten nach § 22 des Siebten Buches Sozialgesetzbuch mitteilen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 17;1;Rechte der Beschäftigten;(1) Die Beschäftigten sind berechtigt, dem Arbeitgeber Vorschläge zu allen Fragen der Sicherheit und des Gesundheitsschutzes bei der Arbeit zu machen. Für Beamtinnen und Beamte des Bundes ist § 125 des Bundesbeamtengesetzes anzuwenden. Entsprechendes Landesrecht bleibt unberührt.;;;
ArbSchG;Arbeitsschutzgesetz;§ 17;2;Rechte der Beschäftigten;(2) Sind Beschäftigte auf Grund konkreter Anhaltspunkte der Auffassung, daß die vom Arbeitgeber getroffenen Maßnahmen und bereitgestellten Mittel nicht ausreichen, um die Sicherheit und den Gesundheitsschutz bei der Arbeit zu gewährleisten, und hilft der Arbeitgeber darauf gerichteten Beschwerden von Beschäftigten nicht ab, können sich diese an die zuständige Behörde wenden. Hierdurch dürfen den Beschäftigten keine Nachteile entstehen. Die in Absatz 1 Satz 2 und 3 genannten Vorschriften sowie die Vorschriften des Hinweisgeberschutzgesetzes, der Wehrbeschwerdeordnung und des Gesetzes über den Wehrbeauftragten des Deutschen Bundestages bleiben unberührt.;;;
